"generation_index","time","best_fitness"
"0","1.4614524841308594","21.899199065722197"
"10","5.600257396697998","20.904190623890713"
"20","9.68956208229065","16.600273993899876"
"30","13.783717393875122","14.65780628285946"
"40","17.899597644805908","11.552206397358908"
"50","22.052212953567505","6.177256399263852"
"60","26.128978967666626","5.404528001890425"
"70","30.209945917129517","3.287279005781671"
"80","34.37476706504822","3.1863378639005546"
"90","38.53929901123047","2.466168059478834"
"100","42.630648374557495","1.9673850428123947"
"110","46.78293538093567","1.8378634550514246"
"120","50.87026762962341","1.802778426932302"
"130","55.02283453941345","1.8023627933497754"
"140","59.097079038619995","1.7597691680036305"
"150","63.22461819648743","1.7530311627923099"
"160","67.32167339324951","1.7019615179292598"
"170","71.36382007598877","1.6818125532216313"
"180","75.48548340797424","1.6752225923602295"
"190","79.6854956150055","1.647299572567714"
"200","83.76521515846252","1.5663483102474678"
"210","87.81158876419067","1.5610398042499314"
"220","91.88001680374146","1.5512620523872875"
"230","95.94147515296936","1.5512620523872875"
"240","100.1326551437378","1.548989611473273"
"250","104.27802157402039","1.5488092974837357"
"260","108.37732410430908","1.5321625444648792"
"270","112.51852011680603","1.5321625444648792"
"280","116.55852627754211","1.520967694310476"
"290","120.6696662902832","1.5189078911722418"
"300","124.80257654190063","1.5167760009506384"
"310","128.9949495792389","1.5167760009506384"
"320","133.0805287361145","1.5151617839343687"
"330","137.13899874687195","1.5151617839343687"
"340","141.26878881454468","1.5151617839343687"
"350","145.34972143173218","1.5126777219027239"
"360","149.39814853668213","1.5125587883694647"
"370","153.5740933418274","1.5125587883694647"
"380","157.6481876373291","1.5056500069583085"
"390","161.75821900367737","1.5001495142104082"
"400","165.86128044128418","1.494181910033873"
"410","169.9337158203125","1.494181910033873"
"420","174.03801488876343","1.480346043409999"
"430","178.20676231384277","1.480346043409999"
"440","182.4348328113556","1.4767317755693494"
"450","186.62018370628357","1.4767317755693494"
"460","190.65239715576172","1.4726815622329186"
"470","194.6766495704651","1.4718318883454018"
"480","198.79469060897827","1.4697862351025668"
"490","202.89629125595093","1.4681306981022657"
"500","207.01458501815796","1.4681306981022657"
